,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KCP 062Z,8/17/2021,18884,10-14, 18.36 
2,KCP 062Z,8/18/2021,19079,20-31.5, 17.58 
3,KCP 062Z,8/19/2021,19409,0-5, 16.10 
4,KCP 062Z,8/22/2021,20097,0-5, 17.62 
5,KCP 062Z,8/19/2021,19380,0-5, 14.06 
6,KCP 062Z,8/17/2021,18957,0-40, 19.28 
7,KCP 062Z,8/17/2021,18987,0-40, 18.98 
8,KDC 006T,8/18/2021,19181,0-40, 32.84 
9,KCH 432T,8/19/2021,19838,0-40, 32.86 
10,KCW 976E,8/19/2021,19312,0-40, 19.54 
11,KCW 976E,8/20/2021,19691,0-40, 19.62 
12,KCW 976E,8/20/2021,19656,0-40, 21.14 
13,KCP 062Z,8/20/2021,19549,0-40, 17.18 
14,KCP 062Z,8/20/2021,19997,0-40, 19.96 
15,KCP 062Z,8/21/2021,19942,0-40, 17.74 
16,KCP 062Z,8/21/2021,19917,0-40, 16.78 
17,KCW 976E,8/21/2021,19975,0-40, 20.02 
18,KCP 062Z,8/21/2021,19829,0-40, 19.62 
19,KCW 976E,8/22/2021,20070,0-40, 20.20 
20,KCW 976E,8/22/2021,20010,0-40, 19.46 
21,KCW 976E,8/22/2021,20052,0-40, 20.58 
22,KCP 062Z,8/22/2021,20057,0-40, 15.20 
23,KCP 062Z,8/22/2021,20029,0-40, 16.54 
24,KCA 398J,8/17/2021,18988,0-40, 27.84 
25,KDC 006T,8/18/2021,19146,5-10, 27.44 
26,KCA 398J,8/21/2021,19976,5-10, 40.46 
27,KDC 006T,8/21/2021,19818,5-10, 28.28 
28,KCA 398J,8/22/2021,20016,5-10, 30.50 
29,KCA 398J,8/22/2021,20048,5-10, 31.58 
30,KCE 343Y,8/18/2021,19195,5-10, 45.08 
31,KCE 343Y,8/14/2021,18498,14-20, 48.48 
32,KCA 398J,8/19/2021,19412,14-20, 36.72 
33,KCW 976E,8/20/2021,19595,14-20, 18.28 
34,KCW 976E,8/20/2021,19631,14-20, 17.98 
35,KCP 062Z,8/20/2021,19586,14-20, 15.96 
36,KCP 062Z,8/20/2021,19832,14-20, 17.70 
37,KDC 006T,8/20/2021,19845,14-20, 29.08 
38,KCE 343Y,8/14/2021,18475,14-20, 47.06 
39,KCP 062Z,8/22/2021,20138,3-10, 16.36 
40,KCA 398J,8/22/2021,20251,3-10, 28.54 
41,KCE 343Y,8/23/2021,20259,3-10, 32.76 
42,KCW 976E,8/22/2021,20119,3-10, 17.70 
43,KCE 343Y,8/14/2021,18416,0-3, 50.28 
44,KCE 343Y,8/14/2021,18460,0-3, 48.92 
45,KCP 062Z,8/18/2021,19107,0-3, 18.94 
46,KCW 976E,8/18/2021,19177,0-3, 19.56 
47,KCW 976E,8/19/2021,19285,0-3, 19.24 
48,KCW 976E,8/20/2021,19562,0-3, 20.22 
49,KCA 398J,8/21/2021,19947,0-3, 31.76 
50,KCA 398J,8/22/2021,20092,0-3, 32.88 
51,KCA 398J,8/22/2021,20160,0-3, 29.64 
52,KDC 006T,8/22/2021,20198,0-3, 31.24 
53,KDC 006T,8/22/2021,20114,0-3, 25.76 
54,KDC 006T,8/22/2021,20155,0-3, 25.04 
55,KCE 343Y,8/22/2021,20166,0-3, 35.40 
56,KCH 432T,8/22/2021,20148,0-3, 47.26 
57,KCH 432T,8/22/2021,20178,0-3, 49.94 
58,KCE 343Y,8/14/2021,18436,0-3, 48.34 
59,KCW 976E,8/22/2021,20103,0-5, 18.10 
60,KDB 204L,8/22/2021,20086,0-40, 26.42 
61,KDB 072T,8/22/2021,20064,0-40, 20.38 
62,KDB 204L,8/21/2021,19986,0-40, 27.14 
63,KDB 072T,8/22/2021,20039,0-40, 21.04 
64,KDB 204L,8/22/2021,20041,0-40, 20.58 
65,KDB 204L,8/22/2021,20015,0-40, 25.14 
66,KAT 901C,8/22/2021,20187,0-3, 17.70 
67,KAT 901C,8/22/2021,18620,0-3, 18.46 
68,KAT 901C,8/22/2021,20117,0-3, 18.46 
69,KDB 204L,8/22/2021,20179,0-3, 21.02 
70,KDB 204L,8/22/2021,20157,0-3, 21.56 
71,KDB 204L,8/22/2021,20131,0-3, 22.76 
72,KDB 204L,8/22/2021,20108,0-5, 21.54 
73,KDB 204L,8/22/2021,20078,0-5, 23.08 
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
29,,,,,
30,,,,,
